"Date","Price","Open","High","Low","Vol.","Change %"
"04/29/2024","63,040.0","63,226.0","63,453.0","61,949.0","0.91K","-0.29%"
"04/28/2024","63,226.0","63,574.0","64,470.0","62,924.0","0.37K","-0.55%"
"04/27/2024","63,574.0","63,874.0","64,028.0","62,498.0","1.13K","-0.47%"
"04/26/2024","63,874.0","64,555.0","64,838.0","63,376.0","0.72K","-1.05%"
"04/25/2024","64,555.0","64,345.0","65,348.0","62,846.0","0.93K","0.33%"
"04/24/2024","64,345.0","66,458.0","67,153.0","63,667.0","0.91K","-3.18%"
"04/23/2024","66,458.0","66,894.0","67,234.0","65,904.0","0.51K","-0.65%"
"04/22/2024","66,894.0","64,992.0","67,282.0","64,581.0","1.08K","2.93%"
"04/21/2024","64,992.0","65,045.0","65,744.0","64,310.0","0.49K","-0.08%"
"04/20/2024","65,045.0","63,867.0","65,465.0","63,174.0","0.83K","1.84%"
"04/19/2024","63,867.0","63,529.0","65,487.0","59,698.0","2.28K","0.53%"
"04/18/2024","63,529.0","61,375.0","64,159.0","60,932.0","1.66K","3.51%"
"04/17/2024","61,375.0","63,874.0","64,534.0","59,840.0","2.28K","-3.91%"
"04/16/2024","63,874.0","63,488.0","64,415.0","61,765.0","1.80K","0.61%"
"04/15/2024","63,488.0","65,793.0","66,888.0","62,386.0","2.49K","-3.50%"
"04/14/2024","65,793.0","64,039.0","65,909.0","62,190.0","2.53K","2.74%"
"04/13/2024","64,039.0","67,061.0","67,878.0","61,604.0","4.32K","-4.51%"
"04/12/2024","67,061.0","70,104.0","71,291.0","65,625.0","2.75K","-4.34%"
"04/11/2024","70,104.0","70,688.0","71,352.0","69,650.0","1.41K","-0.83%"
"04/10/2024","70,688.0","69,165.0","71,241.0","67,606.0","2.39K","2.20%"
"04/09/2024","69,164.0","71,675.0","71,751.0","68,253.0","2.83K","-3.50%"
"04/08/2024","71,675.0","69,343.0","72,761.0","69,040.0","3.09K","3.36%"
"04/07/2024","69,343.0","68,880.0","70,222.0","68,821.0","0.55K","0.67%"
"04/06/2024","68,880.0","67,819.0","69,673.0","67,491.0","0.52K","1.56%"
"04/05/2024","67,819.0","68,518.0","68,718.0","65,993.0","1.68K","-1.02%"
"04/04/2024","68,518.0","65,967.0","69,320.0","65,074.0","2.23K","3.87%"
"04/03/2024","65,967.0","65,495.0","66,931.0","64,603.0","1.43K","0.72%"
"04/02/2024","65,495.0","69,691.0","69,691.0","64,667.0","3.47K","-6.02%"
"04/01/2024","69,691.0","71,402.0","71,402.0","68,198.0","2.56K","-2.40%"
"03/31/2024","71,402.0","69,683.0","71,444.0","69,652.0","1.21K","2.47%"
"03/30/2024","69,683.0","69,862.0","70,301.0","69,632.0","0.31K","-0.26%"
"03/29/2024","69,862.0","70,776.0","70,892.0","69,015.0","1.47K","-1.29%"
"03/28/2024","70,776.0","69,467.0","71,557.0","68,932.0","1.57K","1.88%"
"03/27/2024","69,467.0","70,011.0","71,610.0","68,452.0","4.20K","-0.78%"
"03/26/2024","70,011.0","69,824.0","71,402.0","69,347.0","1.87K","0.27%"
"03/25/2024","69,824.0","67,283.0","70,983.0","66,397.0","4.66K","3.78%"
"03/24/2024","67,283.0","64,034.0","67,655.0","63,827.0","2.02K","5.02%"
"03/23/2024","64,069.0","63,828.0","65,969.0","63,059.0","1.31K","0.38%"
"03/22/2024","63,828.0","65,577.0","66,712.0","62,336.0","3.15K","-2.67%"
"03/21/2024","65,577.0","67,912.0","68,229.0","64,639.0","3.36K","-3.44%"
